sellprice,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(CC),maxpower(bhp),seats
0.7,2017,49957,Diesel,Dealer,Manual,First Owner,25.83,1498,99,5
0.125,2003,120000,Diesel,Individual,Manual,Third Owner,12.7,2609,12.7,8
0.773,2016,65000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
0.484999,2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,5
0.67,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.9,2019,35000,Diesel,Individual,Manual,First Owner,23,1498,98.96,5
0.085,2007,120000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.71,2018,70000,Diesel,Individual,Manual,First Owner,24,1186,73.97,5
0.29,2013,25000,Diesel,Individual,Manual,First Owner,23.57,1396,70,5
0.25,2013,90000,Diesel,Individual,Manual,Third Owner,25.8,1498,98.6,5
0.225,2013,58343,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,5
0.229999,2011,105000,Diesel,Individual,Manual,Second Owner,19.2,1461,65,5
0.6,2018,20000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5
0.225,2014,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
0.25,2012,25000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.39,2013,53000,Diesel,Individual,Manual,Second Owner,21.9,1396,88.76,5
0.415,2014,146000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5
0.95,2018,14000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5
0.4,2015,128000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.4,2018,50000,Diesel,Individual,Manual,First Owner,23.5,909,45,8
1.5,2017,66953,Diesel,Individual,Manual,First Owner,16,2179,140,7
0.484999,2014,54000,Diesel,Dealer,Manual,First Owner,23,1498,98.96,5
0.2,2007,120000,Diesel,Individual,Manual,Second Owner,13.93,2956,138.1,7
0.295,2011,65000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5
0.65,2017,22200,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
0.095,2005,120000,Petrol,Individual,Manual,Fourth & Above Owner,15.3,1341,15.3,5
0.21,2007,207890,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
0.95,2018,35000,Diesel,Individual,Manual,First Owner,23,1498,98.96,5
0.315,2016,51500,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.625,2016,120000,Diesel,Individual,Manual,First Owner,18.49,1493,100,7
4.5,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7
0.375,2014,60000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.6,2015,25000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
1.2,2014,230000,Diesel,Individual,Automatic,First Owner,15.73,1968,174.33,5
0.48,2015,80000,Diesel,Individual,Manual,First Owner,25.83,1498,99,5
0.415,2012,80000,Petrol,Individual,Manual,First Owner,16.47,1198,73.9,5
0.495,2012,82000,Diesel,Individual,Manual,Third Owner,17.3,1998,163.7,5
0.25,2015,70000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
0.395,2011,75500,Diesel,Individual,Manual,Second Owner,23,1396,90,5
0.075,2007,100000,Petrol,Individual,Manual,Second Owner,15.3,1193,15.3,5
0.6,2014,40000,Diesel,Individual,Manual,Second Owner,24.2,1498,98.6,7
0.35,2017,60000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
0.416,2015,40000,Petrol,Individual,Automatic,First Owner,17.01,1499,110.4,5
0.516,2015,90000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.175,2011,175000,Petrol,Individual,Manual,Second Owner,19.7,796,19.7,5
0.385,2013,120000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5
0.254999,2012,90000,Diesel,Individual,Manual,First Owner,23,1396,90,5
0.6,2015,35000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.225,2016,35000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
0.375,2016,53319,Diesel,Dealer,Manual,First Owner,25.44,936,56.3,5
0.157,2013,47200,Petrol,Individual,Manual,Third Owner,16.1,796,16.1,4
0.44,2013,75000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5
0.735,2017,70000,Diesel,Individual,Manual,First Owner,18.49,1493,100,7
0.667,2019,7500,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5
0.495,2015,59292,Diesel,Dealer,Manual,First Owner,28.4,1248,74,5
0.45,2018,30000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
0.21,2009,60000,Petrol,Individual,Manual,Third Owner,15.3,1596,101,5
0.35,2013,100000,Diesel,Individual,Manual,Third Owner,18.2,1248,73.8,7
0.1,2008,40000,Diesel,Individual,Manual,First Owner,16.8,1405,16.8,5
0.74,2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5
0.225,2013,58343,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,5
0.25,2008,100000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
0.52,2017,28832,Diesel,Dealer,Manual,First Owner,23.4,1248,74,5
1.03,2015,190000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7
0.75,2016,80000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
0.53,2017,42000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
0.2,2010,35000,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5
0.15,2005,120000,Diesel,Individual,Manual,Third Owner,17.8,1399,17.8,5
0.55,2015,110000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.37,2014,183000,Diesel,Individual,Manual,First Owner,15.96,2523,63,9
0.86,2017,28000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
0.684,2014,60000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,7
0.6,2016,26000,Petrol,Dealer,Automatic,First Owner,19,1199,88.7,5
0.165,2010,20000,Petrol,Individual,Manual,First Owner,19.7,796,19.7,5
0.425,2016,30000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.635,2015,173000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
0.562,2019,5000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
0.225,2013,58343,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,5
0.6,2020,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
0.215,2013,25000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
1.625,2017,54000,Diesel,Individual,Manual,First Owner,16,2179,140,7
0.34,2017,52412,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5
0.7,2018,43000,Diesel,Individual,Manual,First Owner,27.4,1498,98.63,5
0.7,2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.25,2011,30000,Diesel,Individual,Manual,First Owner,20.4,1248,91.2,5
0.5,2011,150000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120,8
0.33,2018,70000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5
0.25,2008,60000,Petrol,Individual,Automatic,Third Owner,20,1339,108.5,5
4.1,2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280,5
0.35,2016,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
1.025,2019,32000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
0.615,2015,120000,Diesel,Individual,Manual,Second Owner,26,1498,98.6,5
0.031,2000,56194,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,16.1,4
0.16,2008,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.9,1599,13.9,5
0.779,2019,7032,Petrol,Dealer,Automatic,First Owner,19,1199,88.76,5
0.74,2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5
0.22,2014,50000,Diesel,Individual,Manual,First Owner,25.44,936,56.3,5
5.2,2019,10000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190,5
0.287,2015,100000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
1.45,2019,10000,Diesel,Individual,Manual,First Owner,17.3,1497,121,7
0.45,2017,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
0.55,2016,56494,Petrol,Dealer,Manual,First Owner,18.2,1199,88.7,5
0.76,2018,50000,Diesel,Individual,Manual,First Owner,27.39,1248,74,5
0.06,2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,17.88,5
1.09,2019,16500,Petrol,Dealer,Manual,First Owner,17,1197,110,5
0.45,2012,165000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
0.65,2019,5621,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.351,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5
0.86,2019,35000,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5
0.19,2007,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
0.35,2010,120000,Petrol,Individual,Manual,Second Owner,17,1497,118,5
0.7,2015,140000,Diesel,Individual,Manual,Second Owner,25.1,1498,98.6,5
0.17,2006,120000,Diesel,Individual,Manual,Second Owner,14,2523,14,7
0.18,2008,100000,Petrol,Individual,Manual,Third Owner,19.81,1086,19.81,5
0.22,2013,80000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5
1.85,2016,40000,Diesel,Individual,Automatic,Second Owner,17.9,2143,136,5
0.39,2012,80000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
0.32,2014,91000,Diesel,Individual,Manual,Fourth & Above Owner,22.71,1461,84.8,5
0.74,2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5
0.32,2013,120000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5
0.12,2008,70000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.19,2014,110000,Diesel,Individual,Manual,Second Owner,19.09,1405,69.01,5
0.235,2015,50000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.525,2017,29000,Diesel,Dealer,Manual,Second Owner,24,1186,73.97,5
0.25,2010,80000,Petrol,Individual,Manual,Second Owner,15.6,1196,70,5
0.32,2011,80000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
0.55,2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
0.74,2018,15000,Petrol,Individual,Manual,First Owner,17,1198,108.5,5
0.74,2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5
0.75,2017,51000,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5
0.36,2019,25000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
2,2016,68089,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5
0.355,2016,60000,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,5
0.635,2017,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
2.711,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5
0.55,2019,15000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
0.31,2017,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
1.2,2016,90000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
0.95,2018,80000,Diesel,Individual,Manual,First Owner,23,1498,98.96,5
0.215,2007,100750,Petrol,Individual,Manual,Second Owner,16.1,1298,88.2,5
0.8,2017,51146,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.179,2012,30000,Petrol,Individual,Manual,Second Owner,21.1,814,21.1,5
1.35,2019,5400,Diesel,Dealer,Manual,Test Drive Car,22.27,1498,108.6,5
0.19,2009,160000,Petrol,Individual,Manual,Third Owner,17.5,1197,85.8,5
7.2,2020,5000,Diesel,Individual,Automatic,First Owner,13.38,2993,265,7
0.35,2011,80000,Diesel,Individual,Manual,First Owner,19.4,1405,70,5
0.7,2018,28451,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5
2.711,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5
0.55,2019,15000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,5
0.4,2017,85000,Diesel,Individual,Manual,First Owner,20.65,1248,88.7,5
0.7,2012,50000,Diesel,Individual,Automatic,Second Owner,12.12,2231,184,7
0.26,2012,194000,Diesel,Individual,Manual,First Owner,20,1399,68,5
0.25,2008,120000,Petrol,Individual,Manual,Second Owner,17.7,1497,78,5
0.438999,2014,81000,Diesel,Dealer,Manual,First Owner,23.4,1248,74,5
0.3,2017,60000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
0.165,2007,90000,Petrol,Individual,Manual,Third Owner,17.8,1086,17.8,5
0.35,2011,156000,Diesel,Individual,Manual,First Owner,11.57,2179,138.1,7
1.11,2019,10500,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5
0.375,2016,80000,Diesel,Individual,Manual,First Owner,25.32,1198,77,6
0.65,2019,20000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5
0.6,2017,34000,Petrol,Dealer,Manual,Second Owner,21.4,1197,83.1,5
0.26,2014,38000,Diesel,Individual,Manual,First Owner,22.1,1248,74,5
0.1,2011,120000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
1.15,2015,40000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7
5.4,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
0.725,2019,25000,Petrol,Individual,Manual,First Owner,15.41,1598,103.2,5
0.15,2006,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.4,1794,13.4,5
0.25,2008,110000,Diesel,Individual,Manual,Second Owner,18.1,1493,110,5
0.45,2017,40000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5
0.475,2013,48000,Diesel,Dealer,Manual,Second Owner,21.7,1498,98.96,5
0.33,2014,30000,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5
0.58,2016,152000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
0.4,2012,103655,Diesel,Individual,Manual,Second Owner,22.32,1582,126.3,5
0.045,2004,77000,Petrol,Individual,Manual,Third Owner,16.1,796,16.1,4
0.85,2018,15000,Diesel,Individual,Manual,Second Owner,16.55,2498,105,6
0.6,2015,80000,Diesel,Individual,Manual,Second Owner,23.9,1582,126.2,5
0.3,2016,40800,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.45,2014,30000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5
0.4,2016,50000,Diesel,Individual,Manual,First Owner,25.32,1198,77,6
0.45,2017,56290,Diesel,Dealer,Manual,First Owner,24,1186,73.97,5
0.38,2016,80000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
1,2017,15000,Petrol,Individual,Automatic,First Owner,17.01,1591,121.3,5
0.94,2017,120000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
0.409999,2013,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5
0.5,2015,40000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
1.05,2017,70000,Diesel,Dealer,Manual,First Owner,22.32,1582,126.32,5
0.453,2013,54327,Petrol,Dealer,Automatic,Second Owner,17.2,1197,103.6,5
0.18,2011,90000,Diesel,Individual,Manual,Third Owner,20,1399,20,5
0.89,2017,18300,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
0.259,2012,35000,Diesel,Individual,Manual,First Owner,23.03,1396,69,5
0.325,2010,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,5
0.55,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5
0.8,2019,5000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5
0.84,2018,30000,Diesel,Individual,Manual,First Owner,19.87,1461,83.14,5
0.5,2020,15000,Petrol,Individual,Manual,First Owner,23.84,1199,83.83,5
0.65,2019,5621,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.6,2013,60000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
0.31,2017,15000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
0.59,2015,50000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.12,2006,40000,Petrol,Individual,Manual,Second Owner,16.1,796,16.1,4
0.411,2015,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
0.32,2014,70000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
0.225,2011,90000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5
0.43,2012,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
0.825,2016,33500,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
0.375,2012,70000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
0.675,2014,120000,Diesel,Individual,Manual,First Owner,12.05,2179,120,7
0.89,2016,40000,Diesel,Individual,Manual,Second Owner,16,1997,140,7
0.14,2013,110000,Petrol,Individual,Manual,Second Owner,18.6,1199,18.6,5
0.475,2013,149000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
0.475,2011,108000,Diesel,Dealer,Manual,First Owner,16,2179,140,7
0.362,2017,104000,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,5
0.4,2009,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7
0.3,2015,24000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
0.24,2013,60000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
0.975,2017,82000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5
0.8,2016,70000,Petrol,Individual,Automatic,First Owner,16.34,1798,189.3,5
0.229999,2010,168000,Diesel,Individual,Manual,First Owner,14,2498,112,7
0.675,2019,2789,Petrol,Dealer,Manual,First Owner,18.16,1196,86.8,5
0.42,2017,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
0.459999,2016,69000,Diesel,Individual,Manual,Second Owner,25.83,1498,99,5
0.06,2002,100000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,17.3,5
0.229999,2012,120000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5
0.229999,2002,290000,Diesel,Individual,Manual,First Owner,13.1,2446,75,10
0.12,2008,93331,Petrol,Individual,Manual,Second Owner,19.81,1086,19.81,5
0.235,2011,100000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5
0.525,2015,248000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5
0.779,2019,7032,Petrol,Dealer,Automatic,First Owner,19,1199,88.76,5
0.426999,2014,80000,Petrol,Individual,Manual,First Owner,19.1,1197,82,5
0.25,2014,80000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
1.237,2018,46000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.425,2014,60000,Diesel,Individual,Manual,First Owner,24,1120,70,5
0.55,2017,23456,Petrol,Dealer,Manual,First Owner,18.9,1197,82,5
0.62,2018,15000,Petrol,Individual,Manual,First Owner,20.4,1194,94.93,5
0.409999,2010,110000,Petrol,Individual,Automatic,Third Owner,15.6,1497,116.3,5
0.22,2010,20000,Petrol,Individual,Manual,First Owner,21.1,1197,85.8,5
2.15,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190,5
0.235,2008,152500,Diesel,Individual,Manual,First Owner,17.8,1248,75,5
1.25,2017,90000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
0.125,2010,40000,Petrol,Individual,Manual,Second Owner,16,1368,16,5
0.125,2009,60000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.42,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5
0.58,2017,30000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
0.14,2009,120000,Diesel,Individual,Manual,Third Owner,19.09,1396,19.09,5
0.135,2011,110048,Petrol,Individual,Manual,Third Owner,20.92,998,20.92,5
0.4,2012,129000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5
0.969999,2014,110000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7
0.235,2012,98500,Petrol,Individual,Manual,Second Owner,19,998,66.1,5
0.35,2011,50000,Diesel,Individual,Manual,First Owner,23,1396,90,5
0.45,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7
0.38,2014,50000,Diesel,Individual,Manual,Second Owner,24,1120,70,5
0.325,2018,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
0.59,2019,4000,Petrol,Individual,Manual,First Owner,19.72,1198,67,7
0.6,2018,69779,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.539,2018,60000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
0.395,2016,50000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5
0.562,2016,25339,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
0.6,2018,69779,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.19,2011,90000,Diesel,Dealer,Manual,First Owner,18.8,1248,90,5
0.415,2015,45000,Petrol,Individual,Automatic,First Owner,15.5,1198,86.7,5
0.35,2016,49600,Diesel,Individual,Manual,Second Owner,25.32,1198,77,6
0.725,2014,141000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,7
0.565,2017,80000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
0.731,2017,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
0.25,2004,120000,Petrol,Individual,Manual,Second Owner,13.4,2362,164.7,5
0.6,2015,100000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
0.42,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67,5
0.795,2015,35000,Petrol,Individual,Manual,First Owner,17.01,1591,121.3,5
0.307,2009,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75,5
0.509999,2015,75000,Diesel,Individual,Manual,Second Owner,25.8,1498,98.6,5
0.245,2012,100000,Diesel,Dealer,Manual,First Owner,23.08,1461,63.1,5
0.35,2012,70000,Diesel,Individual,Manual,Second Owner,21.5,1248,88.8,5
0.957,2017,60000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5
0.455,2017,60000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
0.1,2005,90000,Petrol,Individual,Manual,Second Owner,12.8,1396,12.8,5
0.625,2017,25538,Petrol,Dealer,Manual,First Owner,16.78,1496,88.73,5
0.25,2013,35000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
0.29,2012,105000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
0.6,2015,80000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
3.2,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5
0.15,2008,120000,Diesel,Individual,Manual,First Owner,12.2,1948,12.2,9
5.15,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
0.65,2018,62841,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5
0.75,2013,79328,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,7
0.35,2016,20000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
0.335,2012,100000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5
0.459999,2017,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
1.05,2019,26000,Diesel,Dealer,Manual,First Owner,23,1498,98.96,5
0.8,2013,117000,Diesel,Dealer,Automatic,First Owner,11.18,2696,184,7
0.475,2014,80000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5
0.081,2006,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.3,1341,15.3,5
0.14,2011,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.92,1086,17.92,5
1.2,2019,20000,Diesel,Individual,Automatic,First Owner,22,1582,126.2,5
0.525,2013,116000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5
1.475,2018,24000,Diesel,Dealer,Manual,First Owner,15.1,2179,152.87,7
1,2016,100000,Diesel,Individual,Manual,First Owner,16,2179,140,7
0.19,2010,90000,Diesel,Individual,Manual,Second Owner,16.8,1493,110,5
0.65,2009,242000,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494,102,7
0.48,2013,110000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7
0.6,2015,100000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
0.225,2013,58343,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,5
0.225,2012,40000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
0.114999,2008,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,13.2,5
1.275,2015,64000,Diesel,Dealer,Automatic,First Owner,11.4,2953,153.86,7
1.35,2011,80000,Diesel,Individual,Automatic,First Owner,15.8,2148,170,5
0.175,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998,23.95,5
0.32,2011,77000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5
